#Years    WideImaging%    DeepImaging%    Prism%    NearbySNe    WideImagingFilters    DeepImagingFilters    WideImagingCadence    DeepImagingCadence    PrismCadence    RubinDDF    ZWide    ZDeep    WideImagingDeg^2    DeepImagingDeg^2    DispersionModel    MeanModelTraining    DistMod.fits                      
0.500     000             000             36        00800        RRZJH                 ZZRYJHF               04                    12                    5               True        0.4      1.7      0                   11                  NIRLower           True                 all_matrices/cov_mat_0074.fits    
0.500     000             000             36        00800        RRZJH                 ZZRYJHF               04                    12                    5               True        0.4      1.7      0                   11                  NIRLower           False                all_matrices/cov_mat_0075.fits    
0.500     000             000             36        00800        RRZYJ                 RRZYJH                08                    12                    5               False       0.8      2.3      0                   13                  TwinsLower         True                 all_matrices/cov_mat_0076.fits    
0.500     000             000             36        00800        RRZYJ                 RRZYJH                08                    12                    5               False       0.8      2.3      0                   13                  NIRLower           True                 all_matrices/cov_mat_0077.fits    
0.500     000             000             36        00800        RRZYJ                 RRZYJH                08                    12                    5               False       0.8      2.3      0                   13                  NIRLower           False                all_matrices/cov_mat_0078.fits    
0.500     000             000             36        00800        RRZYJ                 RRZYJH                08                    12                    5               True        0.8      2.3      0                   13                  TwinsLower         True                 all_matrices/cov_mat_0079.fits    
0.500     000             000             36        00800        RRZYJ                 RRZYJH                08                    12                    5               True        0.8      2.3      0                   13                  NIRLower           True                 all_matrices/cov_mat_0080.fits    
0.500     000             000             36        00800        RRZYJ                 RRZYJH                08                    12                    5               True        0.8      2.3      0                   13                  NIRLower           False                all_matrices/cov_mat_0081.fits    
0.500     000             000             36        00800        RRZYJ                 RZZYJH                06                    10                    5               False       0.3      1.8      0                   20                  TwinsLower         True                 all_matrices/cov_mat_0082.fits    
0.500     000             000             36        00800        RRZYJ                 RZZYJH                06                    10                    5               False       0.3      1.8      0                   20                  NIRLower           True                 all_matrices/cov_mat_0083.fits    
0.500     000             000             36        00800        RRZYJ                 RZZYJH                06                    10                    5               False       0.3      1.8      0                   20                  NIRLower           True                 all_matrices/cov_mat_0084.fits    
0.500     000             000             36        00800        RRZYJ                 RZZYJH                06                    10                    5               False       0.3      1.8      0                   20                  NIRLower           False                all_matrices/cov_mat_0085.fits    
0.500     000             000             36        00800        RRZYJ                 RZZYJH                06                    10                    5               True        0.3      1.8      0                   20                  TwinsLower         True                 all_matrices/cov_mat_0086.fits    
0.500     000             000             36        00800        RRZYJ                 RZZYJH                06                    10                    5               True        0.3      1.8      0                   20                  NIRLower           True                 all_matrices/cov_mat_0087.fits    
0.500     000             000             36        00800        RRZYJ                 RZZYJH                06                    10                    5               True        0.3      1.8      0                   20                  NIRLower           True                 all_matrices/cov_mat_0088.fits    
0.500     000             000             36        00800        RRZYJ                 RZZYJH                06                    10                    5               True        0.3      1.8      0                   20                  NIRLower           False                all_matrices/cov_mat_0089.fits    
0.500     000             000             36        00800        RRZYJH                ZZRYJHF               10                    10                    5               False       0.7      1.1      0                   19                  TwinsLower         True                 all_matrices/cov_mat_0090.fits    
0.500     000             000             36        00800        RRZYJH                ZZRYJHF               10                    10                    5               False       0.7      1.1      0                   19                  NIRLower           True                 all_matrices/cov_mat_0091.fits    
